avgTemp,avgTempRange,avgHumidity,avgHumidityRange,durationDays,brix,pol,purity,actualRendement,baseRen
24.0,23-25,50.0,40-60,2,17.5,14.36,82.06,7.76,7.29
24.0,23-25,50.0,40-60,3,17.5,14.36,82.06,7.52,7.29
24.0,23-25,50.0,40-60,4,17.5,14.36,82.06,7.14,7.29
24.0,23-25,70.0,61-80,2,17.5,14.36,82.06,7.73,7.29
24.0,23-25,70.0,61-80,3,17.5,14.36,82.06,7.39,7.29
24.0,23-25,70.0,61-80,4,17.5,14.36,82.06,7.04,7.29
24.0,23-25,90.0,81-100,2,17.5,14.36,82.06,7.6,7.29
24.0,23-25,90.0,81-100,3,17.5,14.36,82.06,7.38,7.29
24.0,23-25,90.0,81-100,4,17.5,14.36,82.06,7.0,7.29
27.0,26-28,50.0,40-60,2,17.5,14.36,82.06,7.64,7.29
27.0,26-28,50.0,40-60,3,17.5,14.36,82.06,7.27,7.29
27.0,26-28,50.0,40-60,4,17.5,14.36,82.06,7.02,7.29
27.0,26-28,70.0,61-80,2,17.5,14.36,82.06,7.6,7.29
27.0,26-28,70.0,61-80,3,17.5,14.36,82.06,7.24,7.29
27.0,26-28,70.0,61-80,4,17.5,14.36,82.06,6.89,7.29
27.0,26-28,90.0,81-100,2,17.5,14.36,82.06,7.46,7.29
27.0,26-28,90.0,81-100,3,17.5,14.36,82.06,7.17,7.29
27.0,26-28,90.0,81-100,4,17.5,14.36,82.06,6.84,7.29
30.0,29-31,50.0,40-60,2,17.5,14.36,82.06,7.37,7.29
30.0,29-31,50.0,40-60,3,17.5,14.36,82.06,7.06,7.29
30.0,29-31,50.0,40-60,4,17.5,14.36,82.06,6.74,7.29
30.0,29-31,70.0,61-80,2,17.5,14.36,82.06,7.29,7.29
30.0,29-31,70.0,61-80,3,17.5,14.36,82.06,7.01,7.29
30.0,29-31,70.0,61-80,4,17.5,14.36,82.06,6.67,7.29
30.0,29-31,90.0,81-100,2,17.5,14.36,82.06,7.25,7.29
30.0,29-31,90.0,81-100,3,17.5,14.36,82.06,6.98,7.29
30.0,29-31,90.0,81-100,4,17.5,14.36,82.06,6.57,7.29
33.5,32-35,50.0,40-60,2,17.5,14.36,82.06,7.1,7.29
33.5,32-35,50.0,40-60,3,17.5,14.36,82.06,6.81,7.29
33.5,32-35,50.0,40-60,4,17.5,14.36,82.06,6.4,7.29
33.5,32-35,70.0,61-80,2,17.5,14.36,82.06,7.06,7.29
33.5,32-35,70.0,61-80,3,17.5,14.36,82.06,6.72,7.29
33.5,32-35,70.0,61-80,4,17.5,14.36,82.06,6.36,7.29
33.5,32-35,90.0,81-100,2,17.5,14.36,82.06,7.01,7.29
33.5,32-35,90.0,81-100,3,17.5,14.36,82.06,6.72,7.29
33.5,32-35,90.0,81-100,4,17.5,14.36,82.06,6.35,7.29
24.0,23-25,50.0,40-60,2,16.7,13.68,81.92,7.34,6.88
24.0,23-25,50.0,40-60,3,16.7,13.68,81.92,7.02,6.88
24.0,23-25,50.0,40-60,4,16.7,13.68,81.92,6.73,6.88
24.0,23-25,70.0,61-80,2,16.7,13.68,81.92,7.3,6.88
24.0,23-25,70.0,61-80,3,16.7,13.68,81.92,6.97,6.88
24.0,23-25,70.0,61-80,4,16.7,13.68,81.92,6.66,6.88
24.0,23-25,90.0,81-100,2,16.7,13.68,81.92,7.18,6.88
24.0,23-25,90.0,81-100,3,16.7,13.68,81.92,6.97,6.88
24.0,23-25,90.0,81-100,4,16.7,13.68,81.92,6.56,6.88
27.0,26-28,50.0,40-60,2,16.7,13.68,81.92,7.23,6.88
27.0,26-28,50.0,40-60,3,16.7,13.68,81.92,6.89,6.88
27.0,26-28,50.0,40-60,4,16.7,13.68,81.92,6.56,6.88
27.0,26-28,70.0,61-80,2,16.7,13.68,81.92,7.16,6.88
27.0,26-28,70.0,61-80,3,16.7,13.68,81.92,6.83,6.88
27.0,26-28,70.0,61-80,4,16.7,13.68,81.92,6.56,6.88
27.0,26-28,90.0,81-100,2,16.7,13.68,81.92,7.11,6.88
27.0,26-28,90.0,81-100,3,16.7,13.68,81.92,6.82,6.88
27.0,26-28,90.0,81-100,4,16.7,13.68,81.92,6.47,6.88
30.0,29-31,50.0,40-60,2,16.7,13.68,81.92,6.98,6.88
30.0,29-31,50.0,40-60,3,16.7,13.68,81.92,6.71,6.88
30.0,29-31,50.0,40-60,4,16.7,13.68,81.92,6.28,6.88
30.0,29-31,70.0,61-80,2,16.7,13.68,81.92,6.89,6.88
30.0,29-31,70.0,61-80,3,16.7,13.68,81.92,6.57,6.88
30.0,29-31,70.0,61-80,4,16.7,13.68,81.92,6.25,6.88
30.0,29-31,90.0,81-100,2,16.7,13.68,81.92,6.83,6.88
30.0,29-31,90.0,81-100,3,16.7,13.68,81.92,6.52,6.88
30.0,29-31,90.0,81-100,4,16.7,13.68,81.92,6.22,6.88
33.5,32-35,50.0,40-60,2,16.7,13.68,81.92,6.68,6.88
33.5,32-35,50.0,40-60,3,16.7,13.68,81.92,6.37,6.88
33.5,32-35,50.0,40-60,4,16.7,13.68,81.92,6.04,6.88
33.5,32-35,70.0,61-80,2,16.7,13.68,81.92,6.6,6.88
33.5,32-35,70.0,61-80,3,16.7,13.68,81.92,6.37,6.88
33.5,32-35,70.0,61-80,4,16.7,13.68,81.92,5.95,6.88
33.5,32-35,90.0,81-100,2,16.7,13.68,81.92,6.61,6.88
33.5,32-35,90.0,81-100,3,16.7,13.68,81.92,6.29,6.88
33.5,32-35,90.0,81-100,4,16.7,13.68,81.92,5.88,6.88
24.0,23-25,50.0,40-60,2,15.7,13.49,85.92,7.56,7.13
24.0,23-25,50.0,40-60,3,15.7,13.49,85.92,7.34,7.13
24.0,23-25,50.0,40-60,4,15.7,13.49,85.92,6.98,7.13
24.0,23-25,70.0,61-80,2,15.7,13.49,85.92,7.58,7.13
24.0,23-25,70.0,61-80,3,15.7,13.49,85.92,7.29,7.13
24.0,23-25,70.0,61-80,4,15.7,13.49,85.92,6.87,7.13
24.0,23-25,90.0,81-100,2,15.7,13.49,85.92,7.47,7.13
24.0,23-25,90.0,81-100,3,15.7,13.49,85.92,7.14,7.13
24.0,23-25,90.0,81-100,4,15.7,13.49,85.92,6.87,7.13
27.0,26-28,50.0,40-60,2,15.7,13.49,85.92,7.47,7.13
27.0,26-28,50.0,40-60,3,15.7,13.49,85.92,7.14,7.13
27.0,26-28,50.0,40-60,4,15.7,13.49,85.92,6.77,7.13
27.0,26-28,70.0,61-80,2,15.7,13.49,85.92,7.39,7.13
27.0,26-28,70.0,61-80,3,15.7,13.49,85.92,7.09,7.13
27.0,26-28,70.0,61-80,4,15.7,13.49,85.92,6.78,7.13
27.0,26-28,90.0,81-100,2,15.7,13.49,85.92,7.34,7.13
27.0,26-28,90.0,81-100,3,15.7,13.49,85.92,7.07,7.13
27.0,26-28,90.0,81-100,4,15.7,13.49,85.92,6.68,7.13
30.0,29-31,50.0,40-60,2,15.7,13.49,85.92,7.18,7.13
30.0,29-31,50.0,40-60,3,15.7,13.49,85.92,6.94,7.13
30.0,29-31,50.0,40-60,4,15.7,13.49,85.92,6.6,7.13
30.0,29-31,70.0,61-80,2,15.7,13.49,85.92,7.18,7.13
30.0,29-31,70.0,61-80,3,15.7,13.49,85.92,6.9,7.13
30.0,29-31,70.0,61-80,4,15.7,13.49,85.92,6.52,7.13
30.0,29-31,90.0,81-100,2,15.7,13.49,85.92,7.09,7.13
30.0,29-31,90.0,81-100,3,15.7,13.49,85.92,6.78,7.13
30.0,29-31,90.0,81-100,4,15.7,13.49,85.92,6.39,7.13
33.5,32-35,50.0,40-60,2,15.7,13.49,85.92,6.9,7.13
33.5,32-35,50.0,40-60,3,15.7,13.49,85.92,6.59,7.13
33.5,32-35,50.0,40-60,4,15.7,13.49,85.92,6.3,7.13
33.5,32-35,70.0,61-80,2,15.7,13.49,85.92,6.87,7.13
33.5,32-35,70.0,61-80,3,15.7,13.49,85.92,6.59,7.13
33.5,32-35,70.0,61-80,4,15.7,13.49,85.92,6.28,7.13
33.5,32-35,90.0,81-100,2,15.7,13.49,85.92,6.78,7.13
33.5,32-35,90.0,81-100,3,15.7,13.49,85.92,6.5,7.13
33.5,32-35,90.0,81-100,4,15.7,13.49,85.92,6.19,7.13
24.0,23-25,50.0,40-60,2,17.4,14.13,81.21,7.53,7.08
24.0,23-25,50.0,40-60,3,17.4,14.13,81.21,7.22,7.08
24.0,23-25,50.0,40-60,4,17.4,14.13,81.21,6.89,7.08
24.0,23-25,70.0,61-80,2,17.4,14.13,81.21,7.48,7.08
24.0,23-25,70.0,61-80,3,17.4,14.13,81.21,7.25,7.08
24.0,23-25,70.0,61-80,4,17.4,14.13,81.21,6.89,7.08
24.0,23-25,90.0,81-100,2,17.4,14.13,81.21,7.44,7.08
24.0,23-25,90.0,81-100,3,17.4,14.13,81.21,7.17,7.08
24.0,23-25,90.0,81-100,4,17.4,14.13,81.21,6.81,7.08
27.0,26-28,50.0,40-60,2,17.4,14.13,81.21,7.38,7.08
27.0,26-28,50.0,40-60,3,17.4,14.13,81.21,7.15,7.08
27.0,26-28,50.0,40-60,4,17.4,14.13,81.21,6.76,7.08
27.0,26-28,70.0,61-80,2,17.4,14.13,81.21,7.39,7.08
27.0,26-28,70.0,61-80,3,17.4,14.13,81.21,7.1,7.08
27.0,26-28,70.0,61-80,4,17.4,14.13,81.21,6.69,7.08
27.0,26-28,90.0,81-100,2,17.4,14.13,81.21,7.24,7.08
27.0,26-28,90.0,81-100,3,17.4,14.13,81.21,6.95,7.08
27.0,26-28,90.0,81-100,4,17.4,14.13,81.21,6.62,7.08
30.0,29-31,50.0,40-60,2,17.4,14.13,81.21,7.2,7.08
30.0,29-31,50.0,40-60,3,17.4,14.13,81.21,6.91,7.08
30.0,29-31,50.0,40-60,4,17.4,14.13,81.21,6.47,7.08
30.0,29-31,70.0,61-80,2,17.4,14.13,81.21,7.12,7.08
30.0,29-31,70.0,61-80,3,17.4,14.13,81.21,6.81,7.08
30.0,29-31,70.0,61-80,4,17.4,14.13,81.21,6.44,7.08
30.0,29-31,90.0,81-100,2,17.4,14.13,81.21,7.0,7.08
30.0,29-31,90.0,81-100,3,17.4,14.13,81.21,6.72,7.08
30.0,29-31,90.0,81-100,4,17.4,14.13,81.21,6.43,7.08
33.5,32-35,50.0,40-60,2,17.4,14.13,81.21,6.87,7.08
33.5,32-35,50.0,40-60,3,17.4,14.13,81.21,6.59,7.08
33.5,32-35,50.0,40-60,4,17.4,14.13,81.21,6.26,7.08
33.5,32-35,70.0,61-80,2,17.4,14.13,81.21,6.83,7.08
33.5,32-35,70.0,61-80,3,17.4,14.13,81.21,6.59,7.08
33.5,32-35,70.0,61-80,4,17.4,14.13,81.21,6.24,7.08
33.5,32-35,90.0,81-100,2,17.4,14.13,81.21,6.74,7.08
33.5,32-35,90.0,81-100,3,17.4,14.13,81.21,6.46,7.08
33.5,32-35,90.0,81-100,4,17.4,14.13,81.21,6.09,7.08
24.0,23-25,50.0,40-60,2,18.3,14.78,80.77,7.87,7.41
24.0,23-25,50.0,40-60,3,18.3,14.78,80.77,7.54,7.41
24.0,23-25,50.0,40-60,4,18.3,14.78,80.77,7.25,7.41
24.0,23-25,70.0,61-80,2,18.3,14.78,80.77,7.84,7.41
24.0,23-25,70.0,61-80,3,18.3,14.78,80.77,7.5,7.41
24.0,23-25,70.0,61-80,4,18.3,14.78,80.77,7.17,7.41
24.0,23-25,90.0,81-100,2,18.3,14.78,80.77,7.8,7.41
24.0,23-25,90.0,81-100,3,18.3,14.78,80.77,7.43,7.41
24.0,23-25,90.0,81-100,4,18.3,14.78,80.77,7.07,7.41
27.0,26-28,50.0,40-60,2,18.3,14.78,80.77,7.74,7.41
27.0,26-28,50.0,40-60,3,18.3,14.78,80.77,7.49,7.41
27.0,26-28,50.0,40-60,4,18.3,14.78,80.77,7.06,7.41
27.0,26-28,70.0,61-80,2,18.3,14.78,80.77,7.71,7.41
27.0,26-28,70.0,61-80,3,18.3,14.78,80.77,7.42,7.41
27.0,26-28,70.0,61-80,4,18.3,14.78,80.77,7.01,7.41
27.0,26-28,90.0,81-100,2,18.3,14.78,80.77,7.63,7.41
27.0,26-28,90.0,81-100,3,18.3,14.78,80.77,7.3,7.41
27.0,26-28,90.0,81-100,4,18.3,14.78,80.77,6.97,7.41
30.0,29-31,50.0,40-60,2,18.3,14.78,80.77,7.51,7.41
30.0,29-31,50.0,40-60,3,18.3,14.78,80.77,7.2,7.41
